,scores,polarity_score
washington,0.7716283132617129,0.5022193364534898
tuesday,0.7498137346471443,0.3636655850403822
continued,0.7451619619708727,0.3341201802720322
wednesday,0.7714734193156769,0.5012355385230485
present,0.7610174571292786,0.434825235067011
ben,0.7057446283222008,0.08376377668428314
bernanke,0.7440934468718096,0.32733358228027115
chairman,0.7476404331577956,0.34986201451897614
william,0.49999848749517384,-1.223018268205465
dudley,0.7096761303431908,0.10873443338688815
vice,0.5009270432875755,-1.2171206118396574
richard,0.5268427200115199,-1.0525190261774053
fisher,0.5139610875490299,-1.1343358026339945
narayana,0.5116050374927901,-1.14930008773786
kocherlakota,0.5137671076165821,-1.1355678524395114
sandra,0.5137303684554647,-1.1358011986199037
pianalto,0.5139739890445981,-1.1342538596984284
charles,0.5138183346246774,-1.1352424877249008
plosser,0.5134985509927997,-1.1372735708193764
jerome,0.502039921823794,-1.2100522426181122
powell,0.5013456389986144,-1.2144619308211233
jeremy,0.4997199246717555,-1.2247875402537942
stein,0.4979527542607837,-1.236011597988417
daniel,0.49824550242474713,-1.2341522287540583
tarullo,0.5012780833080902,-1.2148910060059714
janet,0.7394864669461346,0.2980726754956289
yellen,0.7410255318328091,0.3078479371444842
christine,0.5108415157061836,-1.1541495423016679
cumming,0.5120744100142425,-1.1463189014034136
evans,0.5137479638337518,-1.1356894428206157
jeffrey,0.5110707777662171,-1.152693400561065
lacker,0.5108582651113102,-1.1540431596410068
dennis,0.5081240773980329,-1.17140915929819
lockhart,0.5025557162804667,-1.206776210649181
john,0.5015876754333157,-1.2129246535443519
williams,0.5017633028691044,-1.211809168321853
alternate,0.5085560343065186,-1.168665615580158
member,0.6939073062474008,0.008579863709067723
james,0.5121754316835809,-1.1456772694238022
bullard,0.5141474299495061,-1.1331522620719936
esther,0.5139127682392011,-1.1346426993089553
george,0.5099570818029017,-1.1597669616129358
eric,0.5032993924773703,-1.2020528039431346
rosengren,0.5043898917117521,-1.1951265752725606
president,0.5059282638652792,-1.1853557134692387
st,0.5,-1.22300866163816
louis,0.5,-1.22300866163816
kansa,0.5,-1.22300866163816
city,0.5,-1.22300866163816
boston,0.5,-1.22300866163816
respectively,0.5,-1.22300866163816
english,0.49999997820929515,-1.2230088000402788
secretary,0.5833404894413342,-0.6936774441655599
economist,0.49917594437073043,-1.2282425926173326
matthew,0.5143880037824045,-1.131624274407009
luecke,0.5199930930731501,-1.096023946664735
deputy,0.5007334130410886,-1.2183504406395538
michelle,0.5030485763647538,-1.203645844722509
smith,0.4983766063936002,-1.2333195311791618
assistant,0.4991839209245338,-1.2281919301006583
scott,0.5059752881627482,-1.1850570419735842
alvarez,0.5123508271512004,-1.144563257530705
general,0.5114544441532475,-1.1502565706706782
counsel,0.512477632080806,-1.1437578649991804
thomas,0.5033707399070437,-1.2015996457955676
baxter,0.5125190848666072,-1.1434945805653727
steven,0.5090266816804916,-1.1656763321101977
kamin,0.5067937577500324,-1.179858590344542
david,0.5001849048801283,-1.2218342513848597
wilcox,0.5022198033687839,-1.2089097377222489
clouse,0.5099620300759228,-1.159735533007222
connors,0.5005734086649325,-1.2193666971050416
evan,0.4999381978898994,-1.22340119336435
koenig,0.5000239839729695,-1.2228563291321128
laubach,0.5055992288606918,-1.187445556002405
michael,0.4993160986337187,-1.2273524127400741
leahy,0.4998598515793024,-1.223898804408523
loretta,0.519071977026155,-1.1018743500143897
mester,0.5071239562953285,-1.177761357664954
paolo,0.5001884595008853,-1.2218116744628191
pesenti,0.5005383310439353,-1.219589490131012
samuel,0.5001801257597343,-1.2218646056296405
schulhofer,0.5004679247276127,-1.2200366708637702
wohl,0.5002951123235756,-1.221134276611427
mark,0.5039449875274876,-1.1979523526959237
schweitzer,0.5010559229772538,-1.216302041616442
wascher,0.49995242132463724,-1.2233108542257525
associate,0.49779103062364854,-1.237038774218275
simon,0.5032259974367548,-1.2025189673466123
potter,0.5040952426094375,-1.1969980181822542
manager,0.768542331339908,0.4826189407908596
lorie,0.6722060792010496,-0.12925394324476056
logan,0.6716340494486868,-0.13288714971233118
gibson,0.4946358854797037,-1.257078455188984
director,0.4971163288400008,-1.2413240948225006
division,0.49706213114835446,-1.2416683276233358
nellie,0.47853676854650734,-1.359330856436055
liang,0.49074627798301185,-1.2817830217869972
stability,0.7036034546775776,0.07016426389372699
stephen,0.49980439826552076,-1.2242510122044419
meyer,0.49994863996192945,-1.2233348712832384
nelson,0.49996776529089537,-1.223213398110547
affair,0.4832544271031472,-1.3293669821638254
jon,0.49958312329241084,-1.2256564245280033
faust,0.4984313415525099,-1.2329718846930606
special,0.49953337622957567,-1.2259723894750865
adviser,0.49965323611026097,-1.2252111079300108
linda,0.49080313636644574,-1.281421889790673
robertson,0.4924578145848927,-1.2709123182514697
skidmore,0.5171718162005832,-1.1139430869504947
trevor,0.4929428439433533,-1.2678316886254026
reeve,0.4985369406844766,-1.2323011792836889
senior,0.49238169491125083,-1.271395786968687
joyce,0.4999974205261619,-1.223025044983594
zickler,0.4999973600767344,-1.2230254289238525
covitz,0.4964575271013661,-1.245508427416684
kiley,0.4981602388333039,-1.234693774417724
statistic,0.49957298785358256,-1.225720799050046
jane,0.49176134646752284,-1.2753358861830901
ihrig,0.49572298164471573,-1.2501738408725458
edward,0.49999745206625584,-1.2230248446589207
stevens,0.49522648548041903,-1.2533273011039336
rudd,0.49948931712767547,-1.2262522277410473
dana,0.49811905400058476,-1.234955356966504
burnett,0.4990456761415594,-1.229069982050816
section,0.49904594832438354,-1.2290682533008814
chief,0.49921745907371623,-1.2279789149209117
burcu,0.4997876052853509,-1.2243576716289053
duygan,0.49977957557233815,-1.2244086717825338
bump,0.4997791658202286,-1.2244112742940438
project,0.6821972303476126,-0.06579585419567013
small,0.6231125550264504,-0.44106798580151746
andrew,0.49987190530812403,-1.2238222460034187
figura,0.4998718824649123,-1.2238223910904604
group,0.41545912622914744,-1.7599640351822967
michele,0.4988890364255635,-1.2300648681155428
cavallo,0.499148563511813,-1.2284165002039493
yuriy,0.49999432709339947,-1.2230446927027432
kitsul,0.5,-1.22300866163816
randall,0.49547280059442533,-1.2517628480985235
record,0.7047141723166971,0.07721890833035815
kenneth,0.4875536856843399,-1.3020605457093792
montgomery,0.49986589432431366,-1.2238604243414617
first,0.6883738920846184,-0.02656522453315525
altig,0.5000124577221656,-1.2229295372979374
glenn,0.49990784024605994,-1.2235940077896175
rudebusch,0.500009722190692,-1.2229469118323937
sullivan,0.5000067404680543,-1.2229658500325957
executive,0.5000074873315097,-1.2229611063822428
atlanta,0.5,-1.22300866163816
san,0.5,-1.22300866163816
francisco,0.5,-1.22300866163816
chicago,0.5,-1.22300866163816
troy,0.500576682896104,-1.219345901057599
davig,0.5000520536626843,-1.2226780464854614
geoffrey,0.5000118415880885,-1.2229334506299006
tootell,0.5000046003018181,-1.2229794431469023
christopher,0.4999868335346143,-1.2230922875107597
waller,0.4999852094909106,-1.2231026025093479
robert,0.49999736635502406,-1.2230253890477403
hetzel,0.49999962002561915,-1.2230110750185346
richmond,0.5,-1.22300866163816
annual,0.6954531719835343,0.018398320471704244
organizational,0.6848948733339333,-0.04866196578407489
matter,0.7653033486500946,0.4620467715839764
agenda,0.6391062123254857,-0.339485403953383
advice,0.6242963682507533,-0.4335490799313816
election,0.6398692722851738,-0.33463888265054614
follow,0.23439036476882913,-2.9100094523923126
begin,0.753814047172349,0.3890732867881392
receive,0.6716371662649112,-0.13286735347477865
individual,0.7036085660742973,0.07019672856806233
execute,0.8028886435532399,0.7007671108034057
oath,0.7018020559751946,0.058722807589859885
elect,0.5053998786033758,-1.1887117150460573
new,0.5,-1.22300866163816
york,0.5,-1.22300866163816
philadelphia,0.5,-1.22300866163816
cleveland,0.5,-1.22300866163816
dallas,0.5,-1.22300866163816
minneapolis,0.5,-1.22300866163816
unanimous,0.810779227644476,0.7508835969385641
vote,0.8566277592844048,1.0420872991843766
select,0.8400690171223659,0.9369156208416798
serve,0.6178244774240962,-0.47465483625209126
effective,0.823961551087263,0.8346101908650365
february,0.5,-1.22300866163816
selection,0.6191515788763121,-0.46622584534838885
successor,0.6935368620869339,0.0062270138544527716
regularly,0.7850837578656908,0.5876806400959701
schedule,0.7599729884098545,0.42819136595283946
officer,0.911524966750058,1.390763025214225
transaction,0.7587403748420288,0.4203625081562976
authorization,0.6407554642745015,-0.3290102969802459
domestic,0.6549115099282956,-0.23909917537835915
operation,0.7610472240676376,0.43501429766824623
approve,0.8163599579757136,0.786329210474344
amendment,0.7607466148420037,0.4331049994573172
make,0.7719934007666759,0.5045381638899682
paragraph,0.699289163326639,0.042762347866687644
similar,0.6437466720167604,-0.3100118528081855
guideline,0.6647291937624468,-0.17674285168109455
conduct,0.8045610921115786,0.7113895493981406
agency,0.7856972836402459,0.5915774056102244
issue,0.7038917134022424,0.07199511877227151
remain,0.7068441826583788,0.09074751819273806
suspend,0.7243727181455156,0.20207877017019563
amend,0.7477464159794611,0.3505351569063013
authorizes,0.7925352101631432,0.6350080117371694
directs,0.8481803047888516,0.9884338901073497
extent,0.8849489238373772,1.2219671704637447
necessary,0.8638493625248249,1.0879548008150997
carry,0.6576066659540567,-0.22198108272066028
recent,0.6460811498672451,-0.2951845820416785
directive,0.6355370210570098,-0.36215486956607096
adopt,0.7631003881599627,0.44805482401920466
buy,0.7698889299273244,0.49117176636822496
sell,0.716232907929557,0.15037934195118696
government,0.6996575246890959,0.04510196897722147
security,0.7337306155302036,0.2615147927904779
include,0.6408227819748938,-0.32858273337286836
direct,0.7932700275086678,0.6396751520759638
obligation,0.6808726349749951,-0.07420892791225504
fully,0.546668433523155,-0.9265974106370493
guaranteed,0.5938631542778758,-0.6268434835502509
principal,0.49981771666998825,-1.2241664213015226
foreign,0.6661121727759163,-0.16795895840369562
maintain,0.8003573328375708,0.6846896700311179
cash,0.772864820274958,0.5100729231929241
regular,0.7074146176576236,0.09437059569880174
defer,0.770073535456067,0.49234427531239566
delivery,0.7614292033839175,0.4374404122482204
basis,0.777841980437688,0.5416850035413193
price,0.7441933082416774,0.3279678446999541
mature,0.7470938870958929,0.34639066590690104
treasury,0.6535987256567238,-0.24743723172297813
allow,0.7281670568252394,0.22617824362307695
without,0.5915939364227023,-0.6412562600775007
replacement,0.547364805795921,-0.9221744514556438
agreement,0.7801005843668354,0.5560303664689698
resell,0.7453361489020861,0.335226516231721
repurchase,0.7893404379691488,0.6147166423640017
commonly,0.8532144378776159,1.020407829961284
refer,0.7804747427595847,0.5584068070069272
repo,0.8030689726686506,0.7019124584111053
reverse,0.7934899286895912,0.6410718388557287
day,0.7061678204321709,0.08645165140516489
less,0.7587300094804822,0.4202966732963897
unless,0.7277614327157023,0.22360195081298156
otherwise,0.7446423387695147,0.33081983030233997
expressly,0.6516209023323054,-0.25999923652134294
authorize,0.7175582782750239,0.15879733785295047
shall,0.7383679890135582,0.29096874210460055
determine,0.8834322688716626,1.212334243841053
competitive,0.7692373885371824,0.4870335473633986
bidding,0.7752017523073048,0.5249157815217518
apply,0.7695273570944826,0.488875262122856
reasonable,0.7877421415432718,0.6045651757879973
limitation,0.7281153358744582,0.22584974166647243
volume,0.706940040672675,0.09135635358297955
counterparties,0.8456844935838149,0.9725819219631763
undertake,0.8210835054990524,0.816330488101573
type,0.9069109735171316,1.3614575739051764
described,0.7545966664353934,0.39404403762127876
time,0.7693790241247006,0.4879331357685189
purpose,0.8620129506570308,1.0762909608703524
test,0.8036853190829617,0.7058271390190445
operational,0.7839308274403145,0.5803578841364523
readiness,0.7651853009848066,0.46129700019667635
aggregate,0.6810710971253934,-0.0729484096168049
par,0.7003421303328466,0.04945019324761379
value,0.5882718951573758,-0.6623559699455036
exceed,0.6949195131466768,0.01500882415697897
billion,0.6972713119268888,0.029946107582180626
per,0.6853915400750012,-0.04550742214640262
calendar,0.6094355214298024,-0.5279366962405597
year,0.6281228980607512,-0.4092451467939697
outstanding,0.7832204125717872,0.5758457344024037
amount,0.7256029109455429,0.20989225263147665
give,0.7554223315347728,0.39928819103589
prior,0.6651409840403287,-0.17412739488937415
notice,0.7383117177829963,0.29061133936816774
order,0.8054035654878869,0.7167404593934974
ensure,0.8370629076491674,0.9178225293807252
use,0.7193929355478057,0.17045003361171662
agent,0.4549907637881053,-1.5088816384020536
mb,0.7669600194240956,0.4725689986986914
related,0.6264195143452699,-0.420064067848824
lend,0.7915898413443957,0.6290035686250309
overnight,0.8193241249237524,0.8051559069566332
set,0.7847516904657345,0.5855715375183376
minimum,0.7319310677639946,0.25008509257665795
lending,0.9571159249249264,1.6803307678350934
fee,0.23269165743085848,-2.920798671766535
consistent,0.9082435822537873,1.369921543936036
objective,0.8638635733783773,1.0880450600451883
program,0.7637015401025886,0.451872998016133
total,0.7052010675593076,0.0803113889874827
specific,0.7469172817160986,0.3452689693422978
may,0.5,-1.22300866163816
auction,0.7520381534706004,0.37779382368983067
borrow,0.8994177979991284,1.3138652001830067
reject,0.9270198796831378,1.4891778675373273
bid,0.8708230845871546,1.1322479026952728
could,0.7454217761202101,0.3357703714445017
facilitate,0.9738171303801139,1.7864072916966132
ability,0.9422300922900154,1.5857844558977556
control,0.8651430197755655,1.0961713732412648
single,0.8065245903084035,0.7238605691629361
solely,0.788498907490908,0.6093717211189561
longer,0.7757981236867217,0.5287035921099628
accommodate,0.7419685345252737,0.3138373519730785
weekend,0.7246190663346807,0.2036434332501345
holiday,0.7027186708691499,0.06454462218470192
trading,0.7188303696490956,0.16687693614050023
convention,0.6933179463732412,0.004836586200024227
assist,0.7534047498503075,0.3864736638289168
provision,0.5921103821480465,-0.6379760916217182
short,0.7435260139900198,0.323729572510648
investment,0.7675966027604602,0.4766122126841072
fiscal,0.5710730828789758,-0.7715930083098704
pursuant,0.7203430559694451,0.17648465619316922
act,0.8420889160069143,0.949744865580903
base,0.8499347680780587,0.9995772394578556
forth,0.6672885045490833,-0.16048757044069947
resale,0.6722877035733436,-0.12873551182383375
comparable,0.6232234401589629,-0.44036370673397246
available,0.857550243385493,1.047946391632734
appropriate,0.7981488025145923,0.6706623460674124
subject,0.7216781165746308,0.18496419909338305
condition,0.8492056649277542,0.9949463924253882
impose,0.32630032535341624,-2.3262498457446346
purchase,0.6622715395131529,-0.19235246862270367
sale,0.7400957430722259,0.3019424496685766
arrange,0.4833584870714457,-1.3287060526435066
correspond,0.7737489934617413,0.5156886865818122
undertaken,0.6735665852459094,-0.12061278543620914
execution,0.8652710062699106,1.0969842703975674
decision,0.7861028297331264,0.5941532029030491
regard,0.7782593550506964,0.5443359288421769
intermeeting,0.6155921663291167,-0.48883320210528025
period,0.6157319838384668,-0.4879451610949095
upon,0.7988968694861088,0.6754136404675085
instruction,0.5760681814984308,-0.7398669931237826
adjust,0.7888573889375199,0.6116485906435823
somewhat,0.6139362228821298,-0.49935080965396633
exceptional,0.8947362120693673,1.2841304386461496
circumstance,0.881662034653998,1.201090726555164
degree,0.7905164365768014,0.6221859142498241
pressure,0.7694440918693966,0.4883464089416066
position,0.3918309429259678,-1.9100367683565116
hence,0.7604320499816363,0.4311070630205557
intend,0.804747015823974,0.7125704306924434
fund,0.7683333760288279,0.4812917759283439
take,0.8082791200262136,0.7350043404300106
action,0.5117139980437142,-1.1486080325139973
result,0.6257595817933126,-0.4242555827237546
material,0.7910586278127154,0.6256296034929906
change,0.6362307878082001,-0.3577484591704606
composition,0.6954936665276592,0.018655518701356198
size,0.7976051520981124,0.6672093889422045
anticipate,0.8232585306165926,0.83014500612539
ii,0.7467072272377222,0.34393482319653
appropriately,0.6633601896325716,-0.1854379844748844
address,0.8399991599220183,0.9364719277801549
temporary,0.401554237297124,-1.8482799526498848
disruption,0.6163380388605659,-0.48409584553588675
highly,0.7076103658901939,0.0956138767373356
unusual,0.6865386607629155,-0.0382215663229967
nature,0.5967978126662825,-0.6082042085950088
dollar,0.5688346458791446,-0.7858102824139598
funding,0.7418760159106637,0.3132497265434862
adjustment,0.8036998276521495,0.7059192891689111
clause,0.7571597024977427,0.41032297968658255
context,0.7241295475815333,0.2005342895516015
discussion,0.7714035091974919,0.5007915093576261
long,0.7542038275663391,0.3915489493608068
run,0.7893180777805348,0.6145746232093109
foster,0.8728328422402158,1.1450127361207907
maximum,0.8779466300602684,1.177492597360272
employment,0.849807716405816,0.998770279757943
economic,0.6771489473418321,-0.09785966624559929
feasible,0.8340051302905569,0.8984012730041018
consult,0.7253581472739846,0.20833765350292
unanimously,0.8640066648128489,1.0889538951591469
currency,0.6952522965603246,0.017122474444872932
procedural,0.593346348275196,-0.6301259402820207
respect,0.6286019297972745,-0.4062026106389548
show,0.8162373031704575,0.7855501771637613
approval,0.9289878535585991,1.5016773142580655
document,0.9408648212249174,1.5771130334005654
warehouse,0.8302287968568406,0.8744161585963127
modify,0.7800775027599357,0.5558837652771201
incorporate,0.8547487774600461,1.0301530791748237
liquidity,0.6673542448414135,-0.1600700256289349
swap,0.7235789286544257,0.1970370724245718
arrangement,0.708116765195424,0.09883023606713559
resolution,0.868952690886573,1.1203682295457782
october,0.5,-1.22300866163816
align,0.4822132560100465,-1.335979906637904
treatment,0.7414833923072836,0.3107560055277011
reciprocal,0.7358878872783134,0.27521655154544733
place,0.7001232596287514,0.04806005146845666
mexico,0.7305743040635386,0.24146770400359757
canada,0.7134897680002615,0.13295648292785742
since,0.6288833726703971,-0.4044150461588609
part,0.3017759984366748,-2.4820143716258136
north,0.6936593825565968,0.00700519394202736
american,0.6711049079173435,-0.13624795468094655
framework,0.7335638483094251,0.2604555825962382
remove,0.8157609303045555,0.7825245286372273
language,0.7336816965890701,0.26120408759974495
transmission,0.5866588093608988,-0.6726013701616613
pertinent,0.8055946515022274,0.7179541286830693
information,0.7378243052851872,0.28751557340127487
official,0.6498007072344515,-0.2715600768000996
department,0.4566299102843201,-1.4984707154968302
duplicate,0.8060713226409776,0.7209816716684784
fomc,0.7297914674215238,0.23649557250331918
express,0.7053418177962498,0.08120535415111008
thereto,0.5184629991145127,-1.1057422300993813
conformity,0.5841537982417379,-0.6885117709089624
cable,0.841971770168159,0.9490008220809689
transfer,0.8470167214975157,0.9810434732240029
spot,0.8349496581182588,0.9044003746211634
forward,0.7621972734318951,0.44231875477207167
home,0.8062963747411284,0.7224110741469871
abroad,0.6620681837092265,-0.19364406861202513
stabilization,0.7146804207926025,0.1405188298300874
establish,0.8138597168521153,0.770449106016103
gold,0.49922537688223895,-1.2279286255207276
authority,0.746844913613755,0.3448093284645385
settlement,0.8331960259277705,0.8932623039353207
hold,0.7539384753870664,0.3898635837833428
contract,0.6431177109647991,-0.3140066543939367
deliver,0.7135731216096326,0.1334858974756347
list,0.7544296795853563,0.39298343246735495
draw,0.7513365051675739,0.37333735417581293
permit,0.821266533436988,0.8174929770894392
accordance,0.6157536364365683,-0.48780763615125555
overall,0.7059197575241581,0.08487609740988154
define,0.7329373344594408,0.2564763242405609
sum,0.8157028341761193,0.7821555351911637
disregard,0.7261813936392117,0.21356644449882983
sign,0.7537341085255709,0.38856556213346255
net,0.6086749209049809,-0.5327675966169906
exclude,0.7277482035360795,0.22351792661534578
due,0.32224584146539076,-2.3520016130675554
movement,0.5963335685582113,-0.6111528221749999
accrual,0.8354317411976766,0.9074622911645115
holding,0.7631477152006833,0.4483554183671849
plus,0.7521590567040859,0.3785617320163384
future,0.7574489399129284,0.4121600506486706
receipt,0.7046362302349324,0.07672386471699058
minus,0.7043457957487349,0.0748791906431341
element,0.9010188464472696,1.3240341460335563
requirement,0.8162720716437983,0.7857710066602825
relation,0.5848213125856931,-0.6842721008190117
banker,0.7296176879803556,0.23539182468779918
stand,0.7084042464167465,0.10065615268825484
pre,0.6674403387441668,-0.15952320630177658
limit,0.7637479775843011,0.45216794239306213
review,0.5067552835713471,-1.1801029563661634
prevail,0.6909435932204022,-0.010243949725876047
return,0.6443728648480893,-0.30603463337976733
paid,0.85750798782265,1.0476780084173893
connection,0.7936754693570282,0.6422502872671002
drawing,0.7349228981269155,0.26908749127976567
non,0.7305949862586391,0.241599065501303
normal,0.7446212054552646,0.3306856035532983
coordination,0.7183635758815798,0.1639121285790845
operating,0.872660093695696,1.143915535972336
commit,0.9177593961343126,1.4303605619978004
understanding,0.47650892000232464,-1.3722105928755424
concern,0.6527436177141194,-0.25286838927153
administration,0.18003856859868927,-3.255221037198457
designate,0.8192010886050058,0.8043744504901301
invest,0.8017023420639102,0.6932324008941432
adequate,0.8708710591002624,1.132552609418274
meet,0.8113587452638518,0.7545643620632632
need,0.76871996878769,0.4837471924622078
portfolio,0.3948995453480709,-1.8905467573556212
generally,0.7271838533628285,0.21993349645072469
average,0.6323354456286273,-0.38248944920072764
duration,0.7489842598641113,0.35839723468980345
month,0.6352009529133724,-0.36428938258390686
calculate,0.9129022794904971,1.3995109295596913
macaulay,0.5242425343995181,-1.0690339209768234
buying,0.7284845040140974,0.22819448696515285
outright,0.6851059479743056,-0.0473213401516264
thereof,0.7347226601726309,0.2678156940916739
various,0.7205178406917837,0.1775947889808607
deposit,0.8828418068199221,1.208583965929148
addition,0.6675042177836995,-0.1591174831053625
facility,0.8086381278801101,0.7372845533932312
within,0.763169614139103,0.44849450792392725
precede,0.6645156160164687,-0.1780993756115571
promptly,0.6944411960589293,0.011970827043060536
subcommittee,0.7604858678803822,0.4314488835936764
consists,0.750913769999749,0.3706523816906112
absence,0.6887196137827457,-0.024369397647530374
call,0.8314275500928275,0.8820299548927799
request,0.6204347058924314,-0.4580761549617907
contemplate,0.6889565340747839,-0.022864615188617713
relate,0.7148741815665915,0.1417494876661713
responsibility,0.7045434535689483,0.07613460029236824
question,0.8326796922209758,0.889982846957423
arise,0.7412995313980185,0.3095882259814172
consultation,0.7205054655556644,0.17751618918006368
determination,0.6462468327722017,-0.2941322588026022
enter,0.8261335380706386,0.8484054123948329
understand,0.8648142095185049,1.0940829581761011
keep,0.7905151876444294,0.6221779817442986
advise,0.48256120898755595,-1.3337699079392769
transmit,0.7664610018917495,0.46939952417667163
national,0.8153666535037658,0.7800203074551553
advisory,0.7849954846877784,0.5871199792569491
council,0.7938111288956619,0.6431119192208854
participate,0.7460855014810753,0.33998597607664804
statement,0.7635351219027204,0.4508160046034913
procedure,0.5792597185240452,-0.7195961716935029
relationship,0.7808464036589857,0.5607673848927264
date,0.6362216093367893,-0.3578067555817126
counter,0.8170514911490528,0.79072143445839
disorderly,0.7438334025985572,0.32568192949205077
reflect,0.5615078657351449,-0.8323458077003509
behavior,0.3901642191573484,-1.9206228463547084
imf,0.7230704400801674,0.193807443250477
article,0.6355432179221459,-0.3621155106159501
iv,0.633559750244433,-0.3747133651245963
achieve,0.9024790466525596,1.3333085042428874
end,0.6017421794015981,-0.5768004133787835
cooperate,0.7070632549843611,0.0921389405590344
country,0.7314950428153475,0.2473157109895929
also,0.6821259884771232,-0.06624834189155411
light,0.7389157085251862,0.2944475437995155
probable,0.7844995497714258,0.5839700837521372
mean,0.7460657145315428,0.33986030066777617
commitment,0.8776043186252409,1.17531843051925
particular,0.7296332678673234,0.2354907792366867
close,0.6819826120864532,-0.0671589868846297
continuous,0.6920017928285721,-0.00352286984409912
cooperation,0.4915659353945246,-1.276577025776476
manner,0.8435364310279857,0.9589386547408884
direction,0.9824569306994103,1.8412823716534286
guide,0.5896261203541375,-0.6537547044989097
clearance,0.6307617952848852,-0.3924843779312045
must,0.9062542226480099,1.3572862672634862
believe,0.7510139578011292,0.3712887174169309
propose,0.7755384728080197,0.5270544379393728
large,0.6482490589599472,-0.2814152609457455
million,0.7174773540073694,0.158283353097068
percent,0.8078554962559299,0.7323137240492122
full,0.7164025508809602,0.15145681714486353
exceeds,0.6842653803843062,-0.05266014568018759
exist,0.8876929327804881,1.2393955489667896
inform,0.797885834218474,0.6689921215550046
discuss,0.711758698244417,0.12196171594804234
guidance,0.7816253188675288,0.5657146096859799
initial,0.6401219335002926,-0.33303412283327766
line,0.635500904202562,-0.36238426320971645
possible,0.7261278620010778,0.2132264420897165
subsequent,0.8623382776848761,1.0783572524517975
either,0.722091977112283,0.1875928049934424
delegate,0.7211964455971416,0.181904899986254
would,0.7517511720506224,0.37597108152156034
repayment,0.7662935789759845,0.4683361493821538
iii,0.7230980964801714,0.19398310091679466
might,0.7781741512249807,0.5437947627762973
generate,0.7831068915413061,0.5751247136155554
substantial,0.35911550414552096,-2.1178265612397706
even,0.7216060115616203,0.18450622920889398
though,0.7199214354197021,0.17380676312578985
specify,0.7201533959711576,0.17528004414358336
reconsideration,0.76554985150539,0.46361241701489053
